worker_id,age,gender,industry,job_role,experience_years,safety_training,safety_equipment_used,shift,working_hours_per_week,environment_risk,injury_history,injury_occurred
6,20,Male,Construction,Plumber,0,No,Yes,Night,66,Low,0,1
15,41,Female,Agriculture,Irrigation Technician,7,Yes,Yes,Day,34,Low,1,0
18,52,Female,Manufacturing,Assembler,8,No,Yes,Night,66,Low,2,1
19,31,Male,Manufacturing,Welder,15,No,Yes,Day,44,Medium,0,0
23,19,Male,Construction,Foreman,0,Yes,No,Night,35,High,0,1
27,26,Female,Agriculture,Irrigation Technician,10,Yes,No,Night,53,Low,1,0
30,36,Female,Agriculture,Irrigation Technician,12,Yes,No,Day,31,Low,0,0
36,57,Male,Construction,Electrician,5,Yes,Yes,Day,68,Medium,1,0
38,19,Female,Construction,Plumber,0,Yes,No,Day,30,Low,0,0
43,58,Female,Mining,Driller,1,No,Yes,Night,37,Low,1,0
49,23,Male,Healthcare,Lab Technician,4,Yes,Yes,Day,60,High,2,1
60,56,Male,Manufacturing,Quality Inspector,3,No,No,Day,33,Medium,1,0
61,52,Female,Construction,Plumber,9,No,No,Day,42,Medium,1,1
64,42,Male,Agriculture,Harvester,9,No,No,Day,69,Medium,1,0
69,54,Female,Agriculture,Irrigation Technician,9,No,Yes,Night,34,Medium,1,1
70,36,Female,Manufacturing,Welder,0,No,No,Day,61,Low,1,1
79,56,Male,Healthcare,Nurse,8,No,Yes,Day,61,Medium,1,0
85,56,Female,Manufacturing,Assembler,4,No,Yes,Night,68,High,1,0
88,59,Female,Mining,Surveyor,5,Yes,No,Night,38,Medium,1,1
89,54,Male,Healthcare,Paramedic,6,No,Yes,Night,30,Medium,1,0
93,58,Female,Manufacturing,Quality Inspector,7,No,No,Night,57,Medium,1,1
102,46,Female,Construction,Electrician,10,No,No,Night,42,High,1,0
103,22,Male,Healthcare,Paramedic,1,Yes,Yes,Day,59,Low,1,1
105,28,Female,Healthcare,Lab Technician,0,No,Yes,Day,51,Low,1,1
108,54,Female,Manufacturing,Technician,10,Yes,No,Night,39,Medium,1,0
119,33,Female,Mining,Driller,1,No,No,Night,54,High,1,1
130,25,Male,Mining,Machine Operator,11,Yes,No,Day,69,Medium,0,1
135,57,Female,Agriculture,Farmer,5,No,No,Night,40,Medium,1,1
180,59,Male,Mining,Machine Operator,1,No,Yes,Night,31,Medium,0,1
193,56,Female,Construction,Electrician,6,No,No,Night,53,Medium,1,1
197,57,Female,Healthcare,Lab Technician,0,Yes,Yes,Night,32,Medium,0,1
206,52,Male,Manufacturing,Quality Inspector,0,No,Yes,Day,63,High,1,1
218,40,Female,Agriculture,Irrigation Technician,3,No,Yes,Day,38,Low,2,0
221,20,Female,Agriculture,Harvester,4,Yes,No,Night,32,Low,2,0
228,24,Female,Mining,Driller,6,No,No,Day,34,Medium,1,1
236,35,Female,Construction,Plumber,7,Yes,Yes,Day,43,Medium,2,1
238,51,Female,Mining,Machine Operator,0,No,Yes,Day,58,Medium,1,0
257,26,Female,Agriculture,Irrigation Technician,10,No,No,Day,37,Medium,1,0
287,22,Male,Construction,Electrician,0,Yes,No,Night,31,Low,1,0
310,22,Female,Manufacturing,Technician,2,No,No,Night,64,Low,1,0
319,20,Female,Construction,Plumber,0,Yes,No,Day,32,Low,0,1
329,40,Male,Healthcare,Nurse,6,No,No,Night,44,Low,2,0
348,35,Male,Construction,Builder,8,Yes,No,Day,66,Medium,1,1
375,33,Male,Healthcare,Paramedic,6,No,No,Night,32,Medium,1,1
378,59,Female,Healthcare,Nurse,7,No,No,Night,55,Medium,1,1
407,39,Female,Agriculture,Harvester,11,No,Yes,Night,35,Low,1,1
412,44,Male,Construction,Plumber,9,No,Yes,Night,69,High,1,1
419,57,Male,Manufacturing,Quality Inspector,12,No,Yes,Night,37,Medium,1,1
426,28,Male,Healthcare,Nurse,5,No,Yes,Day,31,High,1,1
432,37,Female,Healthcare,Paramedic,2,No,No,Day,30,Low,1,0
442,50,Female,Agriculture,Irrigation Technician,10,No,No,Day,54,Medium,1,1
466,26,Female,Healthcare,Lab Technician,9,No,No,Day,68,Medium,1,1
474,21,Female,Healthcare,Lab Technician,0,No,Yes,Day,66,Low,1,1
501,25,Male,Manufacturing,Technician,7,Yes,No,Night,30,Low,1,1
503,47,Female,Agriculture,Harvester,11,No,Yes,Day,42,High,1,0
512,48,Male,Healthcare,Paramedic,13,Yes,Yes,Day,43,High,1,0
527,38,Female,Healthcare,Nurse,3,No,No,Day,30,High,1,1
598,47,Female,Healthcare,Nurse,0,No,No,Day,68,Medium,1,0
625,20,Male,Construction,Electrician,10,No,No,Day,30,Medium,1,0
640,59,Female,Manufacturing,Welder,0,No,No,Night,30,Medium,0,1
647,58,Female,Manufacturing,Quality Inspector,8,No,No,Day,48,High,1,1
648,47,Female,Construction,Electrician,14,No,No,Night,69,Medium,0,1
663,49,Female,Mining,Driller,9,No,No,Night,32,Low,1,1
688,19,Male,Healthcare,Nurse,14,No,Yes,Day,65,High,0,0
736,57,Male,Mining,Surveyor,2,No,No,Night,62,Medium,1,1
769,26,Female,Manufacturing,Quality Inspector,7,Yes,Yes,Day,36,High,2,0
834,36,Male,Mining,Driller,2,No,Yes,Day,68,High,1,1
845,34,Female,Mining,Driller,12,Yes,No,Day,67,Low,1,1
868,25,Male,Healthcare,Nurse,6,Yes,No,Night,54,High,2,0
919,21,Male,Construction,Builder,9,Yes,No,Day,69,Medium,2,1
932,22,Female,Mining,Driller,6,No,Yes,Night,34,Medium,1,1
942,18,Female,Manufacturing,Technician,4,No,Yes,Night,33,Medium,2,0
953,40,Female,Construction,Plumber,5,Yes,Yes,Day,44,Medium,2,0
1069,52,Female,Healthcare,Lab Technician,7,Yes,No,Day,59,Medium,2,1
1075,55,Female,Construction,Builder,9,Yes,No,Day,35,High,1,1
1079,44,Female,Mining,Driller,1,No,No,Day,67,Medium,2,1
1138,19,Female,Healthcare,Nurse,0,Yes,No,Day,43,Medium,2,1
1144,56,Male,Agriculture,Farmer,4,No,No,Night,45,Low,2,1
1146,31,Male,Agriculture,Harvester,3,No,Yes,Night,62,High,2,0
1149,20,Female,Construction,Foreman,1,No,Yes,Day,42,Medium,1,1
1156,47,Female,Agriculture,Irrigation Technician,5,Yes,No,Night,37,High,2,0
1169,26,Male,Healthcare,Lab Technician,4,No,Yes,Night,42,High,2,1
1175,48,Female,Mining,Machine Operator,1,Yes,Yes,Night,52,Medium,2,0
1181,48,Male,Healthcare,Lab Technician,10,No,No,Day,66,High,1,1
1190,59,Female,Manufacturing,Assembler,1,No,Yes,Day,68,Medium,2,1
1198,49,Male,Agriculture,Harvester,4,Yes,No,Day,46,Low,2,0
1204,50,Female,Construction,Foreman,3,No,No,Night,30,High,2,1
1221,48,Female,Construction,Foreman,14,Yes,No,Day,32,Medium,1,0
1239,54,Male,Construction,Builder,6,Yes,Yes,Day,69,Low,2,0
1297,19,Female,Construction,Foreman,1,No,No,Day,65,Low,1,0
1327,19,Male,Healthcare,Lab Technician,8,Yes,Yes,Night,30,Low,1,0
1337,39,Male,Agriculture,Harvester,12,No,Yes,Day,52,Medium,1,1
1343,56,Female,Construction,Builder,11,Yes,Yes,Night,49,Low,2,0
1344,51,Female,Manufacturing,Assembler,8,No,No,Day,68,Medium,1,1
1345,18,Female,Healthcare,Lab Technician,1,Yes,Yes,Night,57,Medium,1,1
1460,53,Female,Agriculture,Irrigation Technician,4,No,Yes,Day,48,Low,2,0
1481,46,Female,Mining,Machine Operator,0,No,Yes,Night,48,Low,2,1
1488,50,Male,Manufacturing,Welder,6,Yes,No,Day,34,Low,2,0
1548,59,Female,Healthcare,Lab Technician,5,No,No,Day,32,Medium,1,1
1609,29,Female,Mining,Driller,3,No,No,Night,33,Medium,2,1
1644,51,Male,Agriculture,Farmer,10,No,No,Day,53,Low,2,0
1659,54,Male,Construction,Plumber,9,No,No,Day,67,Medium,2,1
