worker_id,age,gender,industry,job_role,experience_years,safety_training,safety_equipment_used,shift,working_hours_per_week,environment_risk,injury_history,injury_occurred
1,56,female,mining,blaster,3.0,yes,yes,day,2037-04-27,medium,0.0,0.0
2,36,female,construction,builder,6.0,yes,yes,day,2052-04-27,low,0.0,0.0
3,53,male,construction,builder,6.0,no,yes,night,,medium,0.0,0.0
4,19,female,mining,driller,2.0,no,no,day,2050-04-27,low,0.0,0.0
7,56,male,manufacturing,technician,0.0,yes,yes,day,2055-04-27,medium,0.0,0.0
8,24,male,mining,driller,8.0,no,no,night,2037-04-27,medium,0.0,0.0
9,53,female,manufacturing,welder,6.0,no,yes,night,2035-04-27,medium,0.0,0.0
10,46,male,mining,driller,2.0,yes,no,night,2047-04-27,low,0.0,0.0
11,53,female,construction,electrician,7.0,yes,yes,day,2037-04-27,high,0.0,0.0
12,57,male,healthcare,paramedic,5.0,yes,no,day,2050-04-27,medium,0.0,1.0
13,41,female,healthcare,lab technician,0.0,yes,no,day,2058-04-27,1,0.0,1.0
14,24,female,construction,plumber,2.0,no,no,day,2038-04-27,high,0.0,1.0
15,41,female,agriculture,irrigation technician,7.0,yes,yes,day,2034-04-27,low,1.0,0.0
16,26,female,agriculture,irrigation technician,7.0,yes,no,night,2037-04-27,medium,0.0,1.0
17,40,female,healthcare,lab technician,8.0,yes,yes,night,2069-04-27,medium,0.0,0.0
20,49,male,agriculture,irrigation technician,2.0,no,no,day,2068-04-27,low,0.0,0.0
21,21,male,manufacturing,technician,4.0,yes,yes,day,2044-04-27,low,0.0,0.0
22,49,male,healthcare,nurse,6.0,yes,no,day,2036-04-27,low,0.0,1.0
25,42,male,mining,driller,2.0,yes,yes,day,2056-04-27,low,0.0,0.0
26,58,male,mining,surveyor,4.0,yes,no,night,2032-04-27,low,0.0,0.0
28,58,female,mining,machine operator,4.0,no,no,night,,high,0.0,1.0
29,54,male,mining,blaster,5.0,no,no,day,2052-04-27,low,0.0,0.0
31,23,female,agriculture,farmer,7.0,yes,yes,day,2040-04-27,high,0.0,1.0
32,55,female,agriculture,farmer,1.0,no,no,day,2053-04-27,high,0.0,0.0
33,39,female,mining,driller,2.0,yes,no,night,2062-04-27,high,0.0,1.0
35,43,female,mining,blaster,5.0,yes,yes,night,2061-04-27,medium,0.0,0.0
37,42,male,agriculture,harvester,5.0,yes,yes,day,2064-04-27,medium,0.0,1.0
39,54,female,agriculture,irrigation technician,4.0,no,no,day,2064-04-27,low,0.0,0.0
40,37,male,construction,builder,5.0,yes,no,day,2053-04-27,high,0.0,0.0
41,28,female,mining,driller,7.0,no,yes,night,2054-04-27,high,0.0,1.0
42,35,female,manufacturing,assembler,5.0,yes,yes,night,,low,0.0,0.0
44,29,female,manufacturing,quality inspector,4.0,yes,yes,night,2051-04-27,high,0.0,1.0
45,55,female,mining,blaster,4.0,yes,no,day,2037-04-27,medium,0.0,0.0
46,47,male,construction,foreman,6.0,yes,yes,day,2062-04-27,medium,0.0,0.0
47,22,female,manufacturing,welder,4.0,yes,yes,night,2033-04-27,medium,0.0,0.0
48,34,male,mining,surveyor,0.0,yes,yes,night,2057-04-27,medium,0.0,1.0
50,40,female,mining,driller,7.0,no,yes,night,2062-04-27,low,0.0,1.0
51,42,male,mining,machine operator,8.0,no,yes,day,2032-04-27,high,0.0,1.0
52,49,female,healthcare,paramedic,3.0,yes,yes,day,2051-04-27,medium,0.0,0.0
53,59,female,healthcare,paramedic,6.0,yes,no,night,2062-04-27,medium,0.0,0.0
54,56,female,healthcare,lab technician,6.0,yes,yes,night,2058-04-27,low,0.0,0.0
55,42,male,manufacturing,assembler,2.0,no,no,night,2036-04-27,medium,0.0,0.0
56,18,female,construction,builder,5.0,yes,no,day,2037-04-27,medium,0.0,0.0
57,29,female,mining,driller,0.0,no,yes,night,2051-04-27,medium,0.0,1.0
58,39,female,mining,surveyor,11.0,no,no,night,2051-04-27,medium,0.0,1.0
59,32,male,construction,electrician,2.0,no,no,day,2062-04-27,medium,1.0,0.0
62,36,male,agriculture,irrigation technician,7.0,no,no,day,2057-04-27,high,0.0,1.0
63,43,female,agriculture,irrigation technician,2.0,yes,yes,day,2025-04-30,low,0.0,0.0
65,22,female,healthcare,paramedic,1.0,yes,yes,day,2041-04-27,high,0.0,1.0
66,39,male,mining,machine operator,10.0,yes,no,day,2058-04-27,medium,0.0,1.0
67,47,male,mining,machine operator,6.0,no,no,night,2041-04-27,medium,0.0,0.0
68,38,female,construction,foreman,7.0,yes,no,night,2068-04-27,low,0.0,0.0
71,41,male,agriculture,harvester,6.0,yes,yes,night,2049-04-27,medium,0.0,0.0
72,50,female,construction,foreman,7.0,yes,yes,night,2062-04-27,medium,0.0,0.0
73,29,female,construction,builder,6.0,no,yes,night,2039-04-27,low,0.0,0.0
74,29,male,healthcare,paramedic,4.0,no,yes,night,2060-04-27,medium,0.0,1.0
76,58,female,construction,builder,1.0,yes,yes,night,2036-04-27,low,0.0,0.0
77,28,male,healthcare,nurse,6.0,no,no,night,2050-04-27,low,1.0,0.0
78,41,female,manufacturing,technician,6.0,no,no,night,2064-04-27,high,1.0,1.0
80,42,male,mining,blaster,5.0,yes,yes,day,2064-04-27,low,0.0,0.0
81,37,male,healthcare,lab technician,3.0,yes,no,night,2048-04-27,medium,0.0,1.0
82,58,male,agriculture,irrigation technician,7.0,yes,no,day,2048-04-27,medium,0.0,0.0
83,31,female,manufacturing,quality inspector,4.0,yes,yes,day,2045-04-27,low,0.0,0.0
84,42,male,manufacturing,assembler,11.0,no,no,night,2050-04-27,low,0.0,0.0
86,46,male,healthcare,lab technician,2.0,no,yes,night,2040-04-27,medium,0.0,1.0
87,27,female,construction,foreman,5.0,no,no,night,2067-04-27,high,0.0,0.0
89,54,male,healthcare,paramedic,6.0,no,yes,night,2025-04-30,medium,1.0,0.0
90,21,female,manufacturing,technician,0.0,yes,yes,day,2065-04-27,low,0.0,1.0
91,56,male,healthcare,paramedic,7.0,no,no,night,2068-04-27,medium,0.0,1.0
92,45,male,mining,surveyor,4.0,no,yes,night,2049-04-27,medium,0.0,1.0
94,50,female,manufacturing,technician,8.0,yes,yes,day,2067-04-27,medium,0.0,0.0
95,49,male,construction,electrician,0.0,yes,no,night,2045-04-27,medium,0.0,0.0
96,54,male,construction,plumber,6.0,yes,no,day,2065-04-27,medium,0.0,0.0
97,35,male,manufacturing,assembler,3.0,no,yes,day,2044-04-27,medium,0.0,0.0
98,20,female,agriculture,irrigation technician,3.0,yes,yes,night,2045-04-27,medium,0.0,0.0
99,27,male,healthcare,paramedic,11.0,yes,no,night,2037-04-27,low,0.0,0.0
100,25,female,mining,machine operator,2.0,yes,yes,day,2057-04-27,low,0.0,0.0
101,44,male,construction,plumber,6.0,yes,yes,night,2062-04-27,medium,0.0,0.0
104,50,male,mining,driller,10.0,yes,yes,day,2025-04-30,low,0.0,0.0
106,58,male,manufacturing,quality inspector,9.0,yes,no,day,2064-04-27,medium,0.0,1.0
107,23,male,construction,electrician,6.0,no,yes,day,2034-04-27,low,1.0,0.0
109,18,female,manufacturing,quality inspector,5.0,yes,yes,night,2025-04-30,medium,0.0,0.0
110,45,male,construction,plumber,6.0,yes,yes,day,2060-04-27,high,0.0,0.0
111,51,male,manufacturing,assembler,8.0,no,no,night,2041-04-27,low,0.0,0.0
112,47,female,construction,foreman,4.0,yes,no,night,2059-04-27,medium,0.0,0.0
113,40,male,manufacturing,assembler,6.0,no,no,night,,low,0.0,0.0
114,51,male,healthcare,lab technician,9.0,no,yes,night,2067-04-27,low,0.0,0.0
115,32,male,mining,machine operator,7.0,no,no,day,2067-04-27,low,0.0,0.0
116,47,female,manufacturing,quality inspector,4.0,yes,yes,night,2046-04-27,medium,1.0,0.0
117,27,female,manufacturing,quality inspector,5.0,yes,yes,day,,medium,0.0,0.0
118,28,female,manufacturing,assembler,3.0,yes,yes,day,2052-04-27,medium,0.0,1.0
