worker_id,age,gender,industry,job_role,experience_years,safety_training,safety_equipment_used,shift,working_hours_per_week,environment_risk,injury_history,injury_occurred
1,56,Female,Mining,Blaster,3,Yes,Yes,Day,37,Medium,,0
2,36,Female,Construction,Builder,6,Yes,Yes,Day,52,Low,0,0
3,53,Male,Construction,Builder,6,No,Yes,Night,31,Medium,0,0
4,19,Female,Mining,Driller,2,No,No,Day,50,Low,0,
5,42,Male,Manufacturing,Assembler,7,No,Yes,Night,57,0,1,1
6,20,Male,Construction,Plumber,0,No,Yes,Night,66,Low,0,1
7,56,Male,Manufacturing,Technician,0,Yes,Yes,Day,55,Medium,0,0
8,24,Male,Mining,Driller,8,No,No,Night,37,Medium,0,0
9,53,Female,Manufacturing,Welder,6,No,Yes,Night,35,Medium,,0
10,46,Male,Mining,Driller,2,Yes,No,Night,47,Low,0,0
11,53,Female,Construction,Electrician,7,Yes,Yes,Day,37,High,0,0
12,57,Male,Healthcare,Paramedic,5,Yes,No,Day,50,Medium,0,1
13,41,Female,Healthcare,Lab Technician,0,Yes,No,Day,58,1,0,1
14,24,Female,Construction,Plumber,2,No,No,Day,38,High,,1
15,41,Female,Agriculture,Irrigation Technician,7,Yes,Yes,Day,34,Low,1,0
16,26,Female,Agriculture,Irrigation Technician,7,Yes,No,Night,37,Medium,0,1
17,40,Female,Healthcare,Lab Technician,8,Yes,Yes,Night,69,Medium,0,0
18,52,Female,Manufacturing,Assembler,8,No,Yes,Night,66,Low,2,1
19,31,Male,Manufacturing,Welder,15,No,Yes,Day,44,Medium,0,0
20,49,Male,Agriculture,Irrigation Technician,2,No,No,Day,68,Low,0,0
21,21,Male,Manufacturing,Technician,4,Yes,Yes,Day,44,Low,0,0
22,49,Male,Healthcare,Nurse,6,Yes,No,Day,36,Low,0,1
23,19,Male,Construction,Foreman,0,Yes,No,Night,35,High,0,1
24,37,Female,Manufacturing,Quality Inspector,7,Yes,Yes,Day,59,Low,1,1
25,42,Male,Mining,Driller,2,Yes,Yes,Day,56,Low,0,0
26,58,Male,Mining,Surveyor,4,Yes,No,Night,32,Low,0,0
27,26,Female,Agriculture,Irrigation Technician,10,Yes,No,Night,53,8,1,0
28,58,Female,Mining,Machine Operator,4,No,No,Night,high,High,0,1
29,54,Male,Mining,Blaster,5,No,No,Day,52,Low,0,0
30,36,Female,Agriculture,Irrigation Technician,12,Yes,No,Day,31,Low,0,0
31,23,Female,Agriculture,Farmer,7,Yes,Yes,Day,40,High,0,1
32,55,Female,Agriculture,Farmer,1,No,No,Day,53,High,0,0
33,39,Female,Mining,Driller,2,Yes,No,Night,62,High,0,1
34,33,Female,Healthcare,Paramedic,5,No,Yes,Day,58,Low,1,1
35,43,Female,Mining,Blaster,,Yes,Yes,Night,61,Medium,0,0
36,57,Male,Construction,Electrician,5,Yes,Yes,Day,68,Medium,1,0
37,42,Male,Agriculture,Harvester,5,Yes,Yes,Day,64,Medium,0,1
38,19,Female,Construction,Plumber,0,Yes,No,Day,30,Low,0,0
39,54,Female,Agriculture,Irrigation Technician,4,No,No,Day,64,Low,0,0
40,37,Male,Construction,Builder,5,Yes,No,Day,53,High,0,0
41,28,Female,Mining,Driller,7,No,Yes,Night,54,High,0,1
42,35,Female,Manufacturing,Assembler,,Yes,Yes,Night,31,Low,0,0
43,58,Female,Mining,Driller,1,No,Yes,Night,37,Low,1,0
44,29,Female,Manufacturing,Quality Inspector,4,Yes,Yes,Night,51,High,0,1
45,55,Female,Mining,Blaster,4,Yes,No,Day,37,Medium,0,0
46,47,Male,Construction,Foreman,6,Yes,Yes,Day,62,Medium,0,0
47,22,Female,Manufacturing,Welder,4,Yes,Yes,Night,33,Medium,0,0
48,34,Male,Mining,Surveyor,0,Yes,Yes,Night,57,Medium,0,1
49,23,Male,Healthcare,Lab Technician,4,Yes,Yes,Day,60,High,2,1
50,40,Female,Mining,Driller,7,No,Yes,Night,62,Low,0,1
51,42,Male,Mining,Machine Operator,8,No,Yes,Day,32,High,0,1
52,49,Female,Healthcare,Paramedic,3,Yes,Yes,Day,51,Medium,0,0
53,59,Female,Healthcare,Paramedic,6,Yes,No,Night,62,Medium,0,0
54,56,Female,Healthcare,Lab Technician,6,Yes,Yes,Night,58,Low,0,0
55,42,Male,Manufacturing,Assembler,2,No,No,Night,36,Medium,0,0
